Immoweb code,Price_1,Price_2,country,region,province,district,locality,postalCode,street,number,box,propertyName,floor,latitude,longitude,Available as of,Available date,Neighbourhood or locality,Construction year,Floor,Number of floors,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Toilets,Basement,Furnished,Terrace surface,Elevator,Accessible for disabled people,TV cable,Visio phone,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Thermic solar panels,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Street frontage width,Covered parking spaces,Basement surface,Monthly charges, 212,null,50.85,4.42,Virtual visit,Dining room,Shower rooms,Intercom,Agent's name,Bedroom 3 surface,Armored door,Property name,Laundry room,Terrace orientation,Caretaker,Common water heater,Living room,Total ground floor buildable,Terrace,Attic,Bedroom 4 surface,Office surface,Office,Secure access / alarm,Dressing room,Surface of the plot,Connection to sewer network,"Gas, water & electricity",Heat pump,Garden,Garden orientation,Conformity certification for fuel tanks, 40,50.83,4.45,Garden surface,Width of the lot on the street, 1,50.52,5.24,E-level (overall energy performance),Professional space,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Type of building,Obligation to build,How many fireplaces?,Number of annexes, 95,4.41,Professional space surface,Attic surface, 202,50.9,3.4, 131,51.35,3.28, 9a,50.84,4.46,Extra information, 8,51.23,4.4, 120,4.47, 72 \\/ 0002,51.22,3.22,Venue of the sale,Single session,Terms of visit,Starting price,Isolated, 37, 5,50.61,3.39,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant, 303,50.68,4.19,Bedroom 5 surface,Land is facing street,Wooded land,Plot at rear,Flat land,Current monthly revenue, 30,51.21,4.25,,50.72,4.51
10160241,"€375,000",375000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,7,As new,2,1,Urban,91m²square meters,22m²square meters,Hyper equipped,4m²square meters,2,16m²square meters,10m²square meters,1,1,Yes,No,12m²square meters,Yes,No,Yes,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161760,"€195,000",195000€,Belgium,null,Antwerp,Antwerp,Wilrijk,2610,Prins Boudewijnlaan 122,null,null,null,null,51.18,4.42,After signing the deed,,,1958,1,,Good,2,,,90m²square meters,32m²square meters,Installed,8m²square meters,2,17m²square meters,10m²square meters,1,1,,No,,Yes,,,,,262kWh/m²kilowatt hour per square meters,C,20220322-001505427-RES9,Not specified,Not specified,No,Electric,,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 195,000195000 €","€ 1,2251225 €",No,Prins Boudewijnlaan 1222610- Wilrijk,,6035 - TK2209-11,7 m,1,7m²square meters,€ 7070 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161787,"€235,000",235000€,Belgium,null,Brussels,Brussels,Woluwe-St-Lambert,1200,Avenue des Cerisiers,,,,,,,June 1 2022 - 12:00 AM,Bruxelles Est,1968,2,9,Good,2,"Living area (residential, urban or rural)",,Link to the virtual visit,25m²square meters,Yes,9m²square meters,2,14m²square meters,9m²square meters,1,1,Yes,No,14m²square meters,Yes,Yes,Yes,,,233kWh/m²kilowatt hour per square meters,E,1,50 kg CO₂/m²,Not specified,Gas,,"€ 235,000235000 €",,,,,,,,,"€ 1,3001300 €",No,"Avenue des Cerisiers, 2121200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4936048,,,,,,number,latitude,longitude,After signing the deed,90m²square meters,Installed,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9881253,"€195,500",265500€,Belgium,null,Walloon Brabant,Nivelles,La Hulpe,1310,Chaus\\u00e9e de Bruxelles 135 A,null,null,null,null,50.74,4.46,At delivery,,Cambre,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,,,No,Chausée de Bruxelles 135 A1310- La Hulpe,,,,,,,,,,,,,,,Aurore Orbant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161668,"€270,000",535000€,Belgium,null,East Flanders,Gent,Drongen,9031,Antoon Catriestraat  8a,null,null,null,null,51.05,3.66,At delivery,,,,,,,,1,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,No,No,Non flood zone,,,,No,Antoon Catriestraat8a9031- Drongen,http://www.zabra.be,4970865,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146915,"€339,000",339000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,,Gent en omstreken,2021,1,2,As new,4,,Urban,101m²square meters,30m²square meters,Hyper equipped,7m²square meters,2,16m²square meters,10m²square meters,1,1,,No,9m²square meters,Yes,Yes,Yes,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 339,000339000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4964469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161530,"€465,000",465000€,Belgium,null,East Flanders,Gent,Mariakerke,9030,Alphonse Claeys-Bou\\u00fcaertlaan 57\\/001,null,null,null,null,51.07,3.68,After signing the deed,,,2012,1,,Good,2,,,151m²square meters,,Installed,,2,,,1,2,,No,,Yes,,,,,117kWh/m²kilowatt hour per square meters,B,20220925-0002682195-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 465,000465000 €","€ 1,6111611 €",No,Alphonse Claeys-Bouüaertlaan 57/0019030- Mariakerke,http://www.convas.be,1684 - 1752,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160259,"€208,000",208000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,After signing the deed,September 1 2022 - 12:00 AM,,2004,1,3,Good,3,1,"Living area (residential, urban or rural)",105m²square meters,34m²square meters,USA installed,8m²square meters,2,14m²square meters,14m²square meters,1,1,,No,10m²square meters,No,No,Yes,,No,292kWh/m²kilowatt hour per square meters,C,20211125-0002494536-RES-1,4094 kg CO₂/m²,Not specified,No,Electric,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 208,000208000 €",€ 730730 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970088,,1,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160247,"€230,000",390000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,,,,,,1,,,,,,,,,,,,,,,,,,,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,,,,Yes,Yes,No,No,Non flood zone,,,€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970059,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160111,"€460,000",460000€,Belgium,null,Brussels,Brussels,Woluwe-St-Lambert,1200,Avenue des Cerisiers,,,,,,,October 1 2022 - 12:00 AM,1964,,5,6,As new,2,1,,Link to the virtual visit,42m²square meters,Installed,12m²square meters,3,13m²square meters,11m²square meters,8m²square meters,1,No,,Yes,Yes,No,Yes,,No,305kWh/m²kilowatt hour per square meters,F,Not specified,73 kg CO₂/m²,Not specified,Fuel oil,,"€ 460,000460000 €",,,,,,,,,"€ 1,7571757 €",No,"Avenue des Cerisiers, 2121200- Woluwe-St-Lambert",http://www.expertissimmo.eu,4957298,,,Urban,,,number,latitude,longitude,After signing the deed,109m²square meters,,1,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
