immowebCode,type,priceString,price,country,province,district,locality,postalCode,street,latitude,longitude,availableDate,neighborhoodOrLocality,constructionYear,floor,numberOfFloors,buildingCondition,numberOfFrontages,outdoorParkingSpaces,surroundingsType,livingArea,livingRoomSurface,kitchenType,kitchenSurface,bedrooms,bedroom1Surface,bedroom2Surface,bathrooms,toilets,basement,furnished,terraceSurface,elevator,disabilityAccess,tvCable,visioPhone,swimmingPool,energyConsumption,energyClass,EPCReportReference,CO2Emission,yearlyEnergyConsumption,heatingType,thermicSolarPanels,doubleGlazing,planningPermission,subdivisionPermit,floodZoneType,landUseDesignation,cadastralIncome,tenementBuilding,streetFrontageWidth,coveredParkingSpaces,basementSurface,monthlyCharges,diningRoom,showerRooms,intercom,bedroom3Surface,armoredDoor,propertyName,laundryRoom,terraceOrientation,caretaker,commonWaterHeater,livingRoom,terrace,attic,bedroom4Surface,officeSurface,office,alarm,eLevel,heatPump,PVSolarPanels,plotSurface,lotWidth,gasWaterElectric,gardenSurface,gardenOrientation,dressingRoom,professionalSpace,sewerConnection,jacuzzi,sauna,buildingType,fireplaces,garden,airConditioning,internet,professionalSpaceSurface,atticSurface,isolated,bedroom5Surface,streetFacing,woodedLand,rearPlot,flatLand
10160241,Apartment,"€375,000",375000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,7,As new,2,1,Urban,91,22,4,4,2,16,10,1,1,2,1,12,2,1,2,2,1,1,A,Not specified,None,None,1,2,2,2,2,1,"Living area (residential, urban or rural)",€ 11 €,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10161760,Apartment,"€195,000",195000.0,Belgium,Antwerp,Antwerp,Wilrijk,2610.0,Prins Boudewijnlaan 122,51.18,4.42,None,None,1958,1,None,Good,2,None,None,90,32,2,8,2,17,10,1,1,0,1,None,2,0,0,0,0,262,C,20220322-001505427-RES9,None,None,2,0,2,0,1,1,"Living area (residential, urban or rural)","€ 1,2251225 €",1,7,1,7,€ 7070 €,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10161787,Apartment,"€235,000",235000.0,Belgium,Brussels,Brussels,Woluwe-St-Lambert,1200.0,Avenue des Cerisiers,99.0,999.0,None,None,None,9,None,None,None,None,None,25,None,0,None,None,9,None,1,None,1,0,None,2,2,0,0,0,0,None,50 kg CO₂/m²,None,None,0,0,0,0,0,0,None,No,0,None,None,None,,0,1,1,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
9881253,Apartment,"€195,500",265500.0,Belgium,Walloon Brabant,Nivelles,La Hulpe,1310.0,Chausee de Bruxelles 135 A,50.74,4.46,None,Cambre,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,Not specified,None,None,0,0,0,0,0,0,None,,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10161668,Apartment,"€270,000",535000.0,Belgium,East Flanders,Gent,Drongen,9031.0,Antoon Catriestraat  8a,51.05,3.66,None,None,None,None,None,None,None,1,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,Not specified,None,None,0,0,0,0,0,1,None,,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10146915,Apartment,"€339,000",339000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,None,Gent en omstreken,2021,1,2,As new,4,None,Urban,101,30,4,7,2,16,10,1,1,0,1,9,2,2,2,2,1,1,A,Not specified,None,None,1,2,2,2,1,1,"Living area (residential, urban or rural)",€ 11 €,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10161530,Apartment,"€465,000",465000.0,Belgium,East Flanders,Gent,Mariakerke,9030.0,Alphonse Claeys-Bouuaertlaan 57/001,51.07,3.68,None,None,2012,1,None,Good,2,None,None,151,None,2,None,2,None,None,1,2,0,1,None,2,0,0,0,0,117,B,20220925-0002682195-RES-1,None,None,1,0,2,2,0,1,"Living area (residential, urban or rural)","€ 1,6111611 €",1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160259,Apartment,"€208,000",208000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,September 1 2022 - 12:00 AM,None,2004,1,3,Good,3,1,"Living area (residential, urban or rural)",105,34,6,8,2,14,14,1,1,0,1,10,1,1,2,0,1,292,C,20211125-0002494536-RES-1,4094,None,2,0,2,2,1,1,"Living area (residential, urban or rural)",€ 730730 €,1,None,1,None,,0,None,2,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160247,Apartment,"€230,000",390000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,None,None,None,None,None,1,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,1,A,Not specified,None,None,0,0,0,2,2,1,None,€ 11 €,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160111,Apartment,"€460,000",460000.0,Belgium,Brussels,Brussels,Woluwe-St-Lambert,1200.0,Avenue des Cerisiers,99.0,999.0,None,None,None,6,None,None,1,None,None,42,None,0,None,None,11,8,1,None,0,2,None,1,2,0,1,0,0,None,73 kg CO₂/m²,None,None,0,0,0,0,0,0,None,No,0,None,None,None,,0,1,0,None,2,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
